amazon link,creator,format,retail price,title
0747546290,J. K. Rowling,Paperback,£6.99,Harry Potter and the Prisoner of Azkaban (Book 3) Paperback
074754624X,J. K. Rowling,Hardcover,£14.99,Harry Potter and the Goblet of Fire
0747551006,J. K. Rowling,Hardcover,£16.99,Harry Potter and the Order of the Phoenix
0747584680,J. K. Rowling,Paperback,£8.99,Harry Potter and the Half-Blood Prince (Harry Potter 6)[Children's Edition]
0747591059,J. K. Rowling,Hardcover,£17.99,Harry Potter and the Deathly Hallows (Book 7) [Children's Edition]
0755349962,Simon Scarrow,Paperback,£8.99,The Eagle's Conquest
0340895233,Frank Schätzing,Paperback,£12.99,The Swarm: A Novel of the Deep
0007110928,Pamela Stephenson,Paperback,£8.99,Billy
0441003702,Bruce Sterling,Paperback,£13.00,Schismatrix Plus: Includes Schismatrix and Selected Stories from Crystal
0786942614,"Margaret Weis; Tracy Hickman",Mass Market Paperback,£6.99,DRAGONS OF THE DWARVEN DEPTHS: 1
0099520184,Michael White,Paperback,£6.99,The Medici Secret
